trajectory_id,task_id,task_code,task_name,label,outer_role,inner_role,source_type,source_dataset,source_trajectory_id,origin_sequence_id,historical_source_trajectory_id,environment_seed,source_relative_path,num_replan_steps,common_length
v1completed_L3_replay_013,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_013,v1completed_L3_replay_013,ood-robot-L3-0446,608150008,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_013,150,83
v1completed_L3_replay_014,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_014,v1completed_L3_replay_014,stage3b-robot-L3-0411,608150010,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_014,150,83
v1completed_L3_replay_015,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_015,v1completed_L3_replay_015,stage3b-robot-L3-0417,608150000,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_015,150,83
v1completed_L3_replay_016,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_016,v1completed_L3_replay_016,stage3b-robot-L3-0424,608150011,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_016,150,83
v1completed_L3_replay_017,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_017,v1completed_L3_replay_017,stage3b-robot-L3-0430,608150003,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_017,150,83
v1completed_L3_replay_018,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_018,v1completed_L3_replay_018,stage3b-robot-L3-0437,608150014,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_018,150,83
v1completed_L3_replay_019,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_019,v1completed_L3_replay_019,stage3b-robot-L3-0443,608150017,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_019,150,83
v1completed_L3_replay_020,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_020,v1completed_L3_replay_020,stage3b-robot-L3-0445,608150009,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_020,150,83
v1completed_L3_replay_021,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_021,v1completed_L3_replay_021,stage3b-robot-L3-0447,608150008,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_021,150,83
v1completed_L3_replay_022,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_022,v1completed_L3_replay_022,stage4b-seen-L3-0426,608160002,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_022,150,83
v1completed_L3_replay_023,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_023,v1completed_L3_replay_023,stage4b-seen-L3-0436,608160004,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_023,150,83
v1completed_L3_replay_024,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_024,v1completed_L3_replay_024,stage4b-seen-L3-0439,608160005,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_024,150,83
v1completed_L3_replay_025,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_025,v1completed_L3_replay_025,L3-conformal-rep03-init02,608150302,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_025,97,83
v1completed_L3_replay_026,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_026,v1completed_L3_replay_026,L3-conformal-rep03-init06,608150306,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_026,91,83
v1completed_L3_replay_027,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_027,v1completed_L3_replay_027,L3-conformal-rep03-init08,608150308,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_027,91,83
v1completed_L3_replay_028,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_028,v1completed_L3_replay_028,L3-conformal-rep03-init09,608150309,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_028,98,83
v1completed_L3_replay_029,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_029,v1completed_L3_replay_029,L3-test-rep04-init08,608150408,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_029,92,83
v1completed_L3_replay_030,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_030,v1completed_L3_replay_030,L3-test-rep04-init09,608150409,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_030,91,83
v1completed_L3_replay_031,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_031,v1completed_L3_replay_031,L3-train-rep00-init00,608150000,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_031,86,83
v1completed_L3_replay_032,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_032,v1completed_L3_replay_032,L3-train-rep00-init02,608150002,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_032,97,83
v1completed_L3_replay_033,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_033,v1completed_L3_replay_033,L3-train-rep00-init07,608150007,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_033,88,83
v1completed_L3_replay_034,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_034,v1completed_L3_replay_034,L3-train-rep00-init09,608150009,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_034,93,83
v1completed_L3_replay_035,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_035,v1completed_L3_replay_035,L3-train-rep01-init00,608150100,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_035,89,83
v1completed_L3_replay_036,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_036,v1completed_L3_replay_036,L3-train-rep01-init03,608150103,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_036,90,83
v1completed_L3_replay_037,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_037,v1completed_L3_replay_037,L3-train-rep01-init05,608150105,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_037,96,83
v1completed_L3_replay_038,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_038,v1completed_L3_replay_038,L3-train-rep01-init07,608150107,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_038,89,83
v1completed_L3_replay_039,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_039,v1completed_L3_replay_039,L3-validation-rep02-init01,608150201,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_039,83,83
v1completed_L3_replay_040,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_040,v1completed_L3_replay_040,L3-validation-rep02-init04,608150204,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_040,92,83
v1completed_L3_replay_041,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_041,v1completed_L3_replay_041,L3-validation-rep02-init05,608150205,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_041,95,83
v1completed_L3_replay_042,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_042,v1completed_L3_replay_042,L3-validation-rep02-init08,608150208,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_042,91,83
v1completed_L3_replay_044,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_044,v1completed_L3_replay_044,ood-robot-L3-0406,608150009,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_044,86,83
v1completed_L3_replay_045,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_045,v1completed_L3_replay_045,ood-robot-L3-0414,608150017,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_045,150,83
v1completed_L3_replay_046,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L3_replay_046,v1completed_L3_replay_046,stage3b-robot-L3-0416,608150005,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_046,95,83
v1completed_L3_replay_047,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_047,v1completed_L3_replay_047,stage3b-robot-L3-0421,608150013,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_047,110,83
v1completed_L3_replay_048,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_048,v1completed_L3_replay_048,stage3b-robot-L3-0422,608150016,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_048,99,83
v1completed_L3_replay_049,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_049,v1completed_L3_replay_049,stage3b-robot-L3-0423,608150001,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_049,86,83
v1completed_L4_replay_003,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L4_replay_003,v1completed_L4_replay_003,L4-test-rep04-init00,608210400,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_003,260,122
v1completed_L4_replay_005,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_005,v1completed_L4_replay_005,L4-test-rep04-init09,608210409,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_005,260,122
v1completed_L4_replay_006,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_006,v1completed_L4_replay_006,L4-train-rep00-init02,608210002,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_006,260,122
v1completed_L4_replay_007,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_007,v1completed_L4_replay_007,L4-train-rep01-init02,608210102,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_007,260,122
v1completed_L4_replay_009,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_009,v1completed_L4_replay_009,L4-validation-rep02-init02,608210202,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_009,260,122
v1completed_L4_replay_013,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_013,v1completed_L4_replay_013,ood-robot-L4-0651,608150026,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_013,260,122
v1completed_L4_replay_018,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_018,v1completed_L4_replay_018,ood-robot-L4-0661,608150021,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_018,260,122
v1completed_L4_replay_023,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_023,v1completed_L4_replay_023,ood-robot-L4-0673,608150037,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_023,260,122
v1completed_L4_replay_025,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INTERNAL_VALIDATION,v1_replay,V1补齐版本,v1completed_L4_replay_025,v1completed_L4_replay_025,ood-robot-L4-0676,608150023,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_025,260,122
v1completed_L4_replay_026,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_026,v1completed_L4_replay_026,ood-robot-L4-0679,608150028,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_026,260,122
v1completed_L4_replay_031,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_031,v1completed_L4_replay_031,stage3b-robot-L4-0645,608151005,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_031,260,122
v1completed_L4_replay_035,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_035,v1completed_L4_replay_035,stage3b-robot-L4-0660,608151013,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_035,260,122
v1completed_L4_replay_038,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_038,v1completed_L4_replay_038,stage3b-robot-L4-0668,608151009,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_038,260,122
v1completed_L4_replay_041,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L4_replay_041,v1completed_L4_replay_041,stage3b-robot-L4-0677,608151016,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_041,260,122
v1completed_L4_replay_045,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L4_replay_045,v1completed_L4_replay_045,stage4b-seen-L4-0652,608160009,V1补齐版本/generated_v1_assets/L4/v1completed_L4_replay_045,260,122
v1completed_external_L4_libero10_v2_selected_450,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_450,libero10_task09_rollout000,,202617250,fully_instrumented_libero10_v1/tasks/task_09/rollout_000,189,122
v1completed_external_L4_libero10_v2_selected_451,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_451,libero10_task09_rollout001,,202617251,fully_instrumented_libero10_v1/tasks/task_09/rollout_001,156,122
v1completed_external_L4_libero10_v2_selected_452,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_452,libero10_task09_rollout002,,202617252,fully_instrumented_libero10_v1/tasks/task_09/rollout_002,235,122
v1completed_external_L4_libero10_v2_selected_455,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_455,libero10_task09_rollout005,,202617255,fully_instrumented_libero10_v1/tasks/task_09/rollout_005,260,122
v1completed_external_L4_libero10_v2_selected_456,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_456,libero10_task09_rollout006,,202617256,fully_instrumented_libero10_v1/tasks/task_09/rollout_006,260,122
v1completed_external_L4_libero10_v2_selected_457,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_457,libero10_task09_rollout007,,202617257,fully_instrumented_libero10_v1/tasks/task_09/rollout_007,154,122
v1completed_external_L4_libero10_v2_selected_459,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_459,libero10_task09_rollout009,,202617259,fully_instrumented_libero10_v1/tasks/task_09/rollout_009,152,122
v1completed_external_L4_libero10_v2_selected_460,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_460,libero10_task09_rollout010,,202617260,fully_instrumented_libero10_v1/tasks/task_09/rollout_010,158,122
v1completed_external_L4_libero10_v2_selected_462,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_462,libero10_task09_rollout012,,202617262,fully_instrumented_libero10_v1/tasks/task_09/rollout_012,132,122
v1completed_external_L4_libero10_v2_selected_463,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INTERNAL_VALIDATION,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_463,libero10_task09_rollout013,,202617263,fully_instrumented_libero10_v1/tasks/task_09/rollout_013,260,122
v1completed_external_L4_libero10_v2_selected_464,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_464,libero10_task09_rollout014,,202617264,fully_instrumented_libero10_v1/tasks/task_09/rollout_014,133,122
v1completed_external_L4_libero10_v2_selected_466,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_466,libero10_task09_rollout016,,202617266,fully_instrumented_libero10_v1/tasks/task_09/rollout_016,260,122
v1completed_external_L4_libero10_v2_selected_467,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_467,libero10_task09_rollout017,,202617267,fully_instrumented_libero10_v1/tasks/task_09/rollout_017,135,122
v1completed_external_L4_libero10_v2_selected_468,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_468,libero10_task09_rollout018,,202617268,fully_instrumented_libero10_v1/tasks/task_09/rollout_018,232,122
v1completed_external_L4_libero10_v2_selected_469,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_469,libero10_task09_rollout019,,202617269,fully_instrumented_libero10_v1/tasks/task_09/rollout_019,183,122
v1completed_external_L4_libero10_v2_selected_470,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_470,libero10_task09_rollout020,,202617270,fully_instrumented_libero10_v1/tasks/task_09/rollout_020,154,122
v1completed_external_L4_libero10_v2_selected_472,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_472,libero10_task09_rollout022,,202617272,fully_instrumented_libero10_v1/tasks/task_09/rollout_022,252,122
v1completed_external_L4_libero10_v2_selected_473,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_473,libero10_task09_rollout023,,202617273,fully_instrumented_libero10_v1/tasks/task_09/rollout_023,260,122
v1completed_external_L4_libero10_v2_selected_477,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,SEEN_EVAL,,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_477,libero10_task09_rollout027,,202617277,fully_instrumented_libero10_v1/tasks/task_09/rollout_027,260,122
v1completed_external_L4_libero10_v2_selected_478,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_478,libero10_task09_rollout028,,202617278,fully_instrumented_libero10_v1/tasks/task_09/rollout_028,145,122
v1completed_external_L4_libero10_v2_selected_479,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INNER_TRAIN,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_479,libero10_task09_rollout029,,202617279,fully_instrumented_libero10_v1/tasks/task_09/rollout_029,171,122
v1completed_external_L4_libero10_v2_selected_480,1,L4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,TRAIN,INTERNAL_VALIDATION,external_v2,fully_instrumented_libero10_v2,libero10_v2_selected_480,libero10_task09_rollout030,,202617280,fully_instrumented_libero10_v1/tasks/task_09/rollout_030,148,122
